Date,Clicks,Impressions,CTR,Position
2026-04-10,0,7,0%,32.4
2026-04-11,0,6,0%,42
2026-04-12,0,7,0%,54.1
2026-04-13,0,8,0%,43.1
2026-04-14,0,11,0%,25.9
2026-04-15,0,6,0%,32.2
2026-04-16,0,5,0%,41.8
2026-04-17,0,8,0%,49.9
2026-04-18,0,7,0%,32.1
2026-04-19,0,54,0%,49
2026-04-20,0,31,0%,41.6
2026-04-21,0,41,0%,46.5
2026-04-22,0,45,0%,38.2
2026-04-23,0,31,0%,51.1
2026-04-24,0,15,0%,24.9
2026-04-25,0,33,0%,52.5
2026-04-26,0,23,0%,40.4
2026-04-27,0,5,0%,19.8
2026-04-28,0,10,0%,54.9
2026-04-29,0,7,0%,27.9
2026-04-30,0,2,0%,21.5
2026-05-01,0,5,0%,7.4
2026-05-02,0,3,0%,25.7
2026-05-03,0,1,0%,38
2026-05-04,0,1,0%,25
2026-05-05,0,2,0%,65.5
2026-05-06,0,4,0%,55.8
2026-05-07,1,16,6.25%,59.2
2026-05-08,0,29,0%,72.8
2026-05-09,0,78,0%,72.3
2026-05-10,0,52,0%,70.6
2026-05-11,1,38,2.63%,75.8
2026-05-12,0,19,0%,57.8
2026-05-13,0,3,0%,42.7
2026-05-14,0,17,0%,49.6
2026-05-15,0,56,0%,45.8
2026-05-16,1,37,2.7%,36.9
2026-05-17,0,45,0%,40.8
2026-05-18,0,48,0%,43
2026-05-19,0,48,0%,37.6
2026-05-20,0,53,0%,36.9
2026-05-21,0,13,0%,32.5
2026-05-22,0,2,0%,26.5
2026-05-23,0,7,0%,41.6
2026-05-24,0,12,0%,40.6
2026-05-25,0,26,0%,35.8
2026-05-26,0,32,0%,45.5
2026-05-27,0,31,0%,53.7
2026-05-28,0,113,0%,44.5
2026-05-29,0,118,0%,45.5
2026-05-30,0,83,0%,51.8
2026-05-31,0,73,0%,51.2
2026-06-01,0,64,0%,49.8
2026-06-02,0,82,0%,48.7
2026-06-03,0,105,0%,46.1
2026-06-04,0,81,0%,46
2026-06-05,0,182,0%,48.8
2026-06-06,0,186,0%,46.8
2026-06-07,0,117,0%,47
2026-06-08,0,102,0%,46
2026-06-09,0,97,0%,45.8
2026-06-10,0,177,0%,30
2026-06-11,0,90,0%,48.6
2026-06-12,0,173,0%,51.4
2026-06-13,0,164,0%,47.3
2026-06-14,0,208,0%,46.7
2026-06-15,0,241,0%,47.5
2026-06-16,0,210,0%,47.5
2026-06-17,0,258,0%,48.7
2026-06-18,0,245,0%,46.9
2026-06-19,0,217,0%,46.7
2026-06-20,0,159,0%,44.6
2026-06-21,0,174,0%,44
2026-06-22,0,284,0%,44.1
2026-06-23,0,286,0%,45.1
2026-06-24,0,235,0%,45.3
2026-06-25,0,209,0%,42.8
2026-06-26,0,82,0%,47.7
2026-06-27,0,220,0%,40.9
2026-06-28,0,192,0%,39.2
2026-06-29,0,260,0%,39.5
2026-06-30,0,301,0%,37.1
2026-07-01,1,343,0.29%,36.5
2026-07-02,0,380,0%,34.1
2026-07-03,0,364,0%,35
2026-07-04,0,303,0%,35.8
2026-07-05,1,308,0.32%,35.6
2026-07-06,1,383,0.26%,35.6
2026-07-07,0,335,0%,35.8
2026-07-08,1,386,0.26%,38.5
2026-07-09,0,349,0%,37.1
