Country,Clicks,Impressions,CTR,Position
Poland,7,8606,0.08%,43.07
United States,0,271,0%,34.76
Russia,0,82,0%,34.3
India,0,74,0%,42.96
Brazil,0,66,0%,37.88
Vietnam,0,60,0%,42.67
Mexico,0,43,0%,34.44
Canada,0,41,0%,36.1
Netherlands,0,39,0%,31.26
Ukraine,0,39,0%,35.97
Germany,0,38,0%,36.08
Australia,0,28,0%,43.18
United Kingdom,0,25,0%,38.48
Philippines,0,25,0%,40.2
Argentina,0,23,0%,40.91
Spain,0,22,0%,42.32
Italy,0,21,0%,37.1
Turkey,0,21,0%,38.62
Pakistan,0,21,0%,43.71
Indonesia,0,21,0%,46.81
Chile,0,18,0%,27.44
Japan,0,17,0%,41.29
Bulgaria,0,16,0%,44.94
Saudi Arabia,0,15,0%,44.73
Hungary,0,13,0%,45.69
Egypt,0,13,0%,47.23
Ireland,0,12,0%,41.33
Malaysia,0,10,0%,30.6
Morocco,0,10,0%,36.1
Israel,0,10,0%,41.1
Kazakhstan,0,10,0%,42.6
Czechia,0,10,0%,44.8
Romania,0,9,0%,42.44
Colombia,0,9,0%,49.22
Tunisia,0,8,0%,35.75
Thailand,0,8,0%,39.5
South Africa,0,8,0%,39.62
Switzerland,0,8,0%,42.5
Bangladesh,0,8,0%,46.5
Greece,0,8,0%,46.62
Norway,0,7,0%,25.14
Belgium,0,7,0%,39.86
Denmark,0,7,0%,40.57
Venezuela,0,7,0%,43
Serbia,0,7,0%,48.14
Portugal,0,6,0%,39.67
United Arab Emirates,0,6,0%,40.67
Peru,0,6,0%,41.67
Latvia,0,6,0%,44
Croatia,0,6,0%,47
Algeria,0,6,0%,49.67
Dominican Republic,0,5,0%,29.2
Estonia,0,5,0%,39.2
Sweden,0,5,0%,46.2
Austria,0,5,0%,48
South Korea,0,5,0%,48
Moldova,0,4,0%,24.75
Nigeria,0,4,0%,35.25
Nepal,0,4,0%,44.25
Cyprus,0,4,0%,46.5
Sri Lanka,0,4,0%,49.25
Hong Kong,0,3,0%,32.33
Guatemala,0,3,0%,37.67
Slovakia,0,3,0%,41.67
Madagascar,0,3,0%,42
Jordan,0,3,0%,48.33
Uruguay,0,3,0%,54.67
Belarus,0,3,0%,57.67
France,0,2,0%,7
Myanmar (Burma),0,2,0%,14
Honduras,0,2,0%,19
Haiti,0,2,0%,21.5
Kyrgyzstan,0,2,0%,25
Azerbaijan,0,2,0%,26.5
Finland,0,2,0%,27
Iraq,0,2,0%,34
Oman,0,2,0%,34
Ecuador,0,2,0%,34.5
Gabon,0,2,0%,39
Lithuania,0,2,0%,40.5
Luxembourg,0,2,0%,43
Mali,0,2,0%,45
Uganda,0,2,0%,45
Slovenia,0,2,0%,47
Qatar,0,2,0%,49.5
Senegal,0,2,0%,53.5
Bolivia,0,2,0%,58.5
Lebanon,0,2,0%,61
Paraguay,0,1,0%,4
New Zealand,0,1,0%,5
Panama,0,1,0%,9
Iceland,0,1,0%,11
Angola,0,1,0%,39
Taiwan,0,1,0%,39
Malta,0,1,0%,44
Benin,0,1,0%,45
Mauritania,0,1,0%,45
Suriname,0,1,0%,46
Uzbekistan,0,1,0%,46
Palestine,0,1,0%,51
South Sudan,0,1,0%,52
Syria,0,1,0%,52
Western Sahara,0,1,0%,53
Armenia,0,1,0%,54
